Experiment_Name,Precision,Recall,Fbeta Score,Cohen Kappa,Balanced Accuracy,Average Precision
logistic_regression_experiment1,0.1274509803921568,0.8524590163934426,0.3987730061349692,0.1781352451633822,0.8344296113426728,0.1131467373834779
random_forest_experiment3,0.1203208556149732,0.7377049180327869,0.3640776699029125,0.1629992285036368,0.7840149138900396,0.0967612869290786
random_forest_experiment4,0.0607661822985469,0.7540983606557377,0.2297702297702297,0.0593698296111933,0.6937072514985754,0.0533236784546419
decision_tree_experiment2,0.2816091954022988,0.8032786885245902,0.5861244019138755,0.3894449742853832,0.8694062344118567,0.2322106651592236
xgboost_experiment4,0.0906862745098039,0.6065573770491803,0.2837423312883435,0.1105847173685916,0.7076108184884891,0.0670064288010286
logistic_regression_experiment2,0.0909090909090909,0.7377049180327869,0.3044654939106901,0.1137398845579634,0.7528132635548153,0.075064083457526
xgboost_experiment2,0.4752475247524752,0.7868852459016393,0.6956521739130435,0.5764859887447943,0.8797757843742338,0.3804652653789969
logistic_regression_experiment4,0.0398009950248756,0.5245901639344263,0.1526717557251908,0.0183294197236124,0.5632233955309058,0.0353792105048527
xgboost_experiment3,0.819672131147541,0.819672131147541,0.819672131147541,0.8139991038138639,0.906999551906932,0.6773624025799516
decision_tree_experiment4,0.0606060606060606,0.5901639344262295,0.2147971360381861,0.0578021416819929,0.6511933648407578,0.0482675111773472
random_forest_experiment2,0.0891089108910891,0.7377049180327869,0.3004005340453938,0.1106045460065958,0.7502346147667802,0.0737360818049017
random_forest_experiment1,0.1017699115044247,0.7540983606557377,0.3304597701149425,0.1327241115057228,0.7723560395336451,0.0842445234295662
xgboost_experiment1,0.6176470588235294,0.6885245901639344,0.673076923076923,0.6395732547336046,0.837557808233076,0.4347651880424301
decision_tree_experiment3,0.8181818181818182,0.7377049180327869,0.7525083612040133,0.7691863819965378,0.8662738102283585,0.6115767511177348
decision_tree_experiment1,0.1628571428571428,0.9344262295081968,0.4797979797979798,0.2377774926215834,0.8916587052646708,0.1541779859484777
logistic_regression_experiment3,0.1519756838905775,0.819672131147541,0.4363001745200698,0.2160700238693162,0.837891764387592,0.1300702326971946
